Data,Valor,Tipo,Data de Pagamento,Por quantas ações
2022-03-10,0.0148,JRS CAP PROPRIO,2022-03-21,1
2021-07-22,0.0121,JRS CAP PROPRIO,2021-08-02,1
2021-03-19,0.0136,JRS CAP PROPRIO,2021-03-30,1
2020-07-27,0.0106,JRS CAP PROPRIO,2020-08-20,1
2020-07-03,0.0231,JRS CAP PROPRIO,2020-08-20,1
2020-03-31,0.0231,JRS CAP PROPRIO,2020-04-08,1
2019-12-27,0.0182,JRS CAP PROPRIO,2020-01-08,1
2019-09-30,0.0182,JRS CAP PROPRIO,2019-10-08,1
2019-06-27,0.1262,JRS CAP PROPRIO,2019-07-05,1
2019-03-25,0.1265,JRS CAP PROPRIO,2019-04-04,1
2018-12-28,0.0905,JRS CAP PROPRIO,2019-01-15,1
2018-09-28,0.0917,JRS CAP PROPRIO,2018-10-16,1
2018-06-29,0.1187,JRS CAP PROPRIO,2018-08-15,1
